Match,TeamInnings,Name,Runs,Balls,Fours,Sixes,Strike_Rate,pos,Out_or_Notout,MatchId
Sri Lanka Vs U.A.E.,Sri Lanka,Dushmantha Chameera ,1,1,0,0,100.00,10,not out ,1832
Sri Lanka Vs U.A.E.,U.A.E.,Muhammad Waseem ,2,4,0,0,50.00,1,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Chirag Suri ,14,19,3,0,73.68,2,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Aryan Lakra ,1,3,0,0,33.33,3,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Chundangapoyil Rizwan ,1,3,0,0,33.33,4,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Vriitya Aravind ,9,18,1,0,50.00,5,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Basil Hameed ,2,6,0,0,33.33,6,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Aayan Afzal Khan ,19,21,1,0,90.47,7,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Kashif Daud ,0,4,0,0,0.00,8,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Karthik Meiyappan ,4,8,0,0,50.00,9,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Junaid Siddique ,18,16,1,1,112.50,10,out,1832
Sri Lanka Vs U.A.E.,U.A.E.,Zahoor Khan ,1,1,0,0,100.00,11,not out ,1832
Scotland Vs Ireland,Scotland,George Munsey ,1,2,0,0,50.00,1,out,1833
Scotland Vs Ireland,Scotland,Michael Jones ,86,55,6,4,156.36,2,out,1833
Scotland Vs Ireland,Scotland,Matthew Cross ,28,21,5,0,133.33,3,out,1833
Scotland Vs Ireland,Scotland,Richie Berrington ,37,27,3,1,137.03,4,out,1833
Scotland Vs Ireland,Scotland,Michael Leask ,17,13,2,0,130.76,5,not out ,1833
Scotland Vs Ireland,Scotland,Calum MacLeod ,0,3,0,0,0.00,6,out,1833
Scotland Vs Ireland,Ireland,Paul Stirling ,8,10,1,0,80.00,1,out,1833
Scotland Vs Ireland,Ireland,Andy Balbirnie ,14,12,2,0,116.66,2,out,1833
Scotland Vs Ireland,Ireland,Lorcan Tucker ,20,17,2,0,117.64,3,out,1833
Scotland Vs Ireland,Ireland,Harry Tector ,14,16,1,0,87.50,4,out,1833
Scotland Vs Ireland,Ireland,Curtis Campher ,72,32,7,2,225.00,5,not out ,1833
Scotland Vs Ireland,Ireland,George Dockrell ,39,27,4,1,144.44,6,not out ,1833
West Indies Vs Zimbabwe,West Indies,Kyle Mayers ,13,12,2,0,108.33,1,out,1834
West Indies Vs Zimbabwe,West Indies,Johnson Charles ,45,36,3,2,125.00,2,out,1834
West Indies Vs Zimbabwe,West Indies,Evin Lewis ,15,18,1,0,83.33,3,out,1834
West Indies Vs Zimbabwe,West Indies,Nicholas Pooran ,7,9,0,0,77.77,4,out,1834
West Indies Vs Zimbabwe,West Indies,Rovman Powell ,28,21,1,2,133.33,5,out,1834
West Indies Vs Zimbabwe,West Indies,Shamarh Brooks ,0,3,0,0,0.00,6,out,1834
West Indies Vs Zimbabwe,West Indies,Jason Holder ,4,3,0,0,133.33,7,out,1834
West Indies Vs Zimbabwe,West Indies,Akeal Hosein ,23,18,2,0,127.77,8,not out ,1834
West Indies Vs Zimbabwe,West Indies,Odean Smith ,1,2,0,0,50.00,9,not out ,1834
West Indies Vs Zimbabwe,Zimbabwe,Wessly Madhevere ,27,19,3,1,142.10,1,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Regis Chakabva ,13,9,3,0,144.44,2,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Tony Munyonga ,2,6,0,0,33.33,3,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Sean Williams ,1,2,0,0,50.00,4,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Sikandar Raza ,14,8,1,1,175.00,5,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Milton Shumba ,2,9,0,0,22.22,6,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Ryan Burl ,17,19,3,0,89.47,7,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Luke Jongwe ,29,22,3,1,131.81,8,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Richard Ngarava ,2,6,0,0,33.33,9,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Tendai Chatara ,3,8,0,0,37.50,10,out,1834
West Indies Vs Zimbabwe,Zimbabwe,Blessing Muzarabani ,1,4,0,0,25.00,11,not out ,1834
Sri Lanka Vs Netherlands,Sri Lanka,Pathum Nissanka ,14,21,0,1,66.66,1,out,1835
Sri Lanka Vs Netherlands,Sri Lanka,Kusal Mendis ,79,44,5,5,179.54,2,out,1835
Sri Lanka Vs Netherlands,Sri Lanka,Dhananjaya de Silva ,0,1,0,0,0.00,3,out,1835
Sri Lanka Vs Netherlands,Sri Lanka,Charith Asalanka ,31,30,3,0,103.33,4,out,1835
Sri Lanka Vs Netherlands,Sri Lanka,Bhanuka Rajapaksa ,19,13,2,0,146.15,5,out,1835
Sri Lanka Vs Netherlands,Sri Lanka,Dasun Shanaka ,8,5,0,1,160.00,6,out,1835
Sri Lanka Vs Netherlands,Sri Lanka,Wanindu Hasaranga de Silva ,5,4,0,0,125.00,7,not out ,1835
Sri Lanka Vs Netherlands,Sri Lanka,Chamika Karunaratne ,2,2,0,0,100.00,8,not out ,1835
Sri Lanka Vs Netherlands,Netherlands,Max O Dowd ,71,53,6,3,133.96,1,not out ,1835
Sri Lanka Vs Netherlands,Netherlands,Vikramjit Singh ,7,14,0,0,50.00,2,out,1835
Sri Lanka Vs Netherlands,Netherlands,Bas de Leede ,14,10,1,1,140.00,3,out,1835
Sri Lanka Vs Netherlands,Netherlands,Colin Ackermann ,0,1,0,0,0.00,4,out,1835
